"fips","state","county","month_start_date","monthly_eviction_filings"
"47099","tennessee","lawrence","2020-02-01","8"
"47099","tennessee","lawrence","2020-03-01","3"
"47099","tennessee","lawrence","2020-04-01","0"
"47099","tennessee","lawrence","2020-05-01","0"
"47099","tennessee","lawrence","2020-06-01","9"
"47099","tennessee","lawrence","2020-07-01","5"
"47099","tennessee","lawrence","2020-08-01","7"
"47099","tennessee","lawrence","2020-09-01","2"
"47099","tennessee","lawrence","2020-10-01","6"
"47099","tennessee","lawrence","2020-11-01","5"
"47099","tennessee","lawrence","2020-12-01","5"
"47099","tennessee","lawrence","2021-01-01","2"
"47099","tennessee","lawrence","2021-02-01","0"
"47099","tennessee","lawrence","2021-03-01","4"
"47099","tennessee","lawrence","2021-04-01","7"
"47099","tennessee","lawrence","2021-05-01","2"
"47099","tennessee","lawrence","2021-06-01","11"
"47099","tennessee","lawrence","2021-07-01","6"
"47099","tennessee","lawrence","2021-08-01","7"
"47099","tennessee","lawrence","2021-09-01","13"
"47099","tennessee","lawrence","2021-10-01","8"
"47099","tennessee","lawrence","2021-11-01","11"
"47099","tennessee","lawrence","2021-12-01","5"
"47099","tennessee","lawrence","2022-01-01","9"
"47099","tennessee","lawrence","2022-02-01","14"
"47099","tennessee","lawrence","2022-03-01","14"
"47099","tennessee","lawrence","2022-04-01","8"
"47099","tennessee","lawrence","2022-05-01","6"
"47099","tennessee","lawrence","2022-06-01","13"
"47099","tennessee","lawrence","2022-07-01","9"
"47099","tennessee","lawrence","2022-08-01","6"
"47099","tennessee","lawrence","2022-09-01","7"
"47099","tennessee","lawrence","2022-10-01","7"
"47099","tennessee","lawrence","2022-11-01","3"
"47099","tennessee","lawrence","2022-12-01","8"
"47183","tennessee","weakley","2016-01-01","20"
"47183","tennessee","weakley","2016-02-01","19"
"47183","tennessee","weakley","2016-03-01","17"
"47183","tennessee","weakley","2016-04-01","10"
"47183","tennessee","weakley","2016-05-01","17"
"47183","tennessee","weakley","2016-06-01","12"
"47183","tennessee","weakley","2016-07-01","14"
